product_id,Product,Category,price
46,Seiko Automatic Watch,Electronics,60.11
47,Jabra Elite 85t True Wireless Earbuds,Electronics,32.97
48,Prada Saffiano Leather Cardholder,Accessories,447.8
49,Samsung Galaxy Z Fold 4,Electronics,230.34
50,LG Gram 17 Laptop,Electronics,462.39
51,Apple Watch Series 8,Accessories,286.2
52,Longchamp Le Pliage Tote,Home Appliances,301.95
53,LG OLED55C1PUB Alexa Built-In OLED TV,Electronics,515.09
54,DJI Mini 2 Drone,Electronics,128.28
55,Dell UltraSharp U2720Q Monitor,Accessories,308.71
56,Herschel Little America Backpack,Home Appliances,793.83
57,TCL 6-Series 65-Inch 4K TV,Home Appliances,887.61
58,iRobot Roomba i7+ Robot Vacuum,Home Appliances,330.13
59,Logitech MX Master 3S Mouse,Electronics,102.92
60,Coach Signature Canvas Wallet,Electronics,281.2
61,Lenovo ThinkPad X1 Carbon Gen 9,Electronics,379.09
62,Tiffany & Co. Sterling Silver Bracelet,Accessories,758.86
63,Breville Barista Express Espresso Machine,Electronics,362.22
64,Giorgio Armani Silk Tie,Accessories,538.14
65,GoPro HERO11 Black,Home Appliances,48.4
66,Fossil Hybrid Smartwatch,Accessories,944.27
67,Bose QuietComfort 45 Headphones,Electronics,41.71
68,MCM Stark Backpack,Accessories,647.59
69,Xiaomi Mi Band 6,Home Appliances,575.21
70,Razer DeathAdder V2 Gaming Mouse,Electronics,437.78
71,Dyson V11 Torque Drive Vacuum Cleaner,Accessories,375.25
72,Louis Vuitton Monogram Key Holder,Electronics,855.1
73,Dell XPS 13 Laptop,Home Appliances,227.28
74,Samsung Odyssey G9 Gaming Monitor,Accessories,934.16
75,Nespresso VertuoPlus Coffee Maker,Electronics,735.01
76,Apple AirPods Pro,Electronics,58.17
77,Vitamix 5200 Blender,Electronics,200.61
78,Whirlpool Side-by-Side Refrigerator,Electronics,515.71
79,Philips Hue White and Color Ambiance Starter Kit,Home Appliances,521.59
80,KitchenAid Artisan Stand Mixer,Electronics,967.76
81,Sony X90K 65-Inch 4K TV,Electronics,714.96
82,Whirlpool 30-inch Wall Oven,Home Appliances,11.55
83,Samsung Galaxy Tab S8 Ultra,Accessories,782.88
84,Frigidaire Gallery Gas Range,Home Appliances,239.24
85,Sony WH-1000XM4 Wireless Headphones,Home Appliances,612.42
86,Beats Fit Pro Earbuds,Home Appliances,887.96
87,Hugo Boss Leather Gloves,Electronics,276.96
88,Michael Kors Leather Tote Bag,Electronics,90.61
89,HP Envy 32 All-in-One Desktop,Home Appliances,886.06
90,Oakley Flight Deck Goggles,Accessories,156.67
91,Canon EOS R5 Mirrorless Camera,Home Appliances,614.57
92,Ray-Ban Aviator Sunglasses,Electronics,816.44
93,ASUS ROG Strix Scar 17 Gaming Laptop,Accessories,592.81
94,Kate Spade New York Earrings,Electronics,708.17
95,Samsung Galaxy FlexWash Washing Machine,Home Appliances,696.76
96,Apple iPad Pro 12.9-inch (6th Gen),Electronics,479.46
97,Samsung Galaxy S23 Ultra,Home Appliances,135.98
98,Hamilton Beach Breakfast Sandwich Maker,Electronics,94.42
99,Ray-Ban Wayfarer Sunglasses,Home Appliances,444.73
100,Chanel Classic Flap Bag,Accessories,460.21
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
